ppb,tpp,consec,runtime,wattage
64,2,0,2.6450408,231.8
59,4,0,0.8158198,219.9
11,19,0,0.1286398,209.4
228,1,1,6.2085428,232.8
90,1,1,6.254243,234.1
18,9,1,0.1659168,212.7
17,9,1,0.166762,211.5
76,3,1,0.8710664,225.6
105,2,1,1.6344054,221.3
115,2,0,2.6481544,228.5
44,4,1,0.5523346,219.7
82,3,1,0.8775792,225.2
73,1,0,6.234615,231.0
36,5,1,0.4151766,213.7
47,2,0,2.6950608,231.2
18,7,0,0.3646698,218.9
16,8,1,0.2029746,210.8
18,9,0,0.1728744,213.3
238,1,1,6.2233486,232.6
121,2,0,2.6465956,231.0
31,4,1,0.5792384,217.0
28,9,0,0.1984588,213.5
89,1,1,6.2596408,232.4
30,8,1,0.1912234,209.6
26,7,0,0.3607912,217.8
164,1,1,6.2133596,232.0
83,1,1,6.2403608,231.6
7,29,1,0.0486758,203.0
6,23,1,0.0531678,200.2
64,3,0,1.3414142,231.2
161,1,0,6.2335622,232.0
224,1,0,6.1834076,232.4
35,6,0,0.4266724,220.5
23,4,0,0.844853,222.6
114,2,0,2.6415292,230.6
159,1,0,6.2324624,232.2
117,2,0,2.6445812,230.8
28,5,1,0.3918158,217.0
27,4,1,0.5662486,221.3
7,15,0,0.0819404,206.5
11,14,1,0.079325,204.9
18,14,1,0.082898,202.0
93,1,1,6.2703668,222.8
76,1,0,6.2086584,233.9
61,3,0,1.346949,230.2
54,4,1,0.5343766,218.6
56,2,0,2.6611472,226.0
72,1,0,6.188714,233.0
71,1,1,6.2248386,233.2
9,11,0,0.1282632,210.6
153,1,0,6.2290754,232.0
6,19,0,0.1208766,208.6
25,3,1,0.8661276,222.6
14,12,1,0.1052122,206.5
170,1,0,6.2079488,232.2
157,1,1,6.2382368,231.4
148,1,0,6.2058728,223.2
49,4,0,0.8040264,222.6
25,6,0,0.4412586,217.6
39,3,0,1.3650698,229.3
25,4,1,0.573559,219.9
51,3,0,1.3585336,227.9
169,1,0,6.230672,229.3
20,12,0,0.1147618,205.9
24,8,0,0.2652182,208.2
60,2,0,2.6496896,225.0
17,10,1,0.140021,210.2
8,16,0,0.0664558,203.7
34,2,1,1.5237038,227.7
19,4,0,0.75904,225.4
53,4,0,0.8062044,224.6
5,31,0,0.0579378,203.4
158,1,0,6.2221182,232.2
9,15,0,0.0862302,205.9
7,25,0,0.0818042,205.5
197,1,0,6.2107592,232.2
18,8,0,0.2214312,206.1
5,24,0,0.085852,200.6
78,1,0,6.2448144,232.4
57,4,0,0.812243,223.6
12,9,0,0.1650994,210.4
41,3,1,0.9273746,224.2
64,4,0,0.8025842,224.4
8,18,1,0.0600798,203.7
25,4,0,0.8436438,225.2
129,1,0,6.2514722,227.1
